timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,2.1176647663558392,0.003076059860213058,4.160506510683896,1.0,0.4553924366419968,0.5488554847197545,1.5,0.3065946161367584,0.6006677261857543,-0.6094213080259115,15.778190399603677,271.89712183646657,0.3618830361219224,10.739259367484538,nan,nan,nan,nan
800,100,1.7043899739573418,0.0,3.813905431125478,1.0,0.484333796442286,0.5836858907910075,1.375,0.276729304863378,0.2812016606555955,-0.5950609133475669,18.965517820198322,224.64120918757806,0.5597486378714297,11.029218236529967,nan,nan,nan,nan
1200,150,1.8205637050515235,0.0,3.0879354467233107,1.0,0.5495805288166368,0.6078433426586599,1.25,0.2628323305559357,0.43062242041413473,-0.6020777689791279,18.523138461850536,196.65587611876776,0.47794743606835,18.748478226832788,nan,nan,nan,nan
1600,200,2.5576610702095244,0.0,6.47819010236304,1.0,0.5724729763182459,0.6473886660083538,2.125,0.3733523361116917,0.5900099498147885,-0.6138395733859232,11.851748633566551,291.6216764708451,0.5290435334707415,11.551555502929485,nan,nan,nan,nan
2000,250,1.5117281493456571,0.0,4.782214989539992,1.0,0.5084135157683745,0.5931195215948624,1.25,0.24414529127490264,0.12018899227658683,-0.5808733491905257,15.67228428032059,265.62367123096317,0.5282669137981525,18.951671178867073,nan,nan,nan,nan
2400,300,1.7738567265587917,0.0015607760557823968,2.973211685183774,1.0,0.5364764937385079,0.6099324802934589,1.125,0.2446135617514251,0.5984260641296784,-0.6041988680459947,13.785162217833312,243.7814313058641,0.44853336074009276,10.914338893465182,nan,nan,nan,nan
2800,350,1.9459422089177187,0.000523940234561815,2.8541218279264085,1.0,0.46253607845909384,0.4776537659398637,1.375,0.2949132498592347,0.6021593739372033,-0.6101520184479698,7.063422264778506,247.00562345337124,0.5275211773680997,9.348855688467065,nan,nan,nan,nan
3200,400,2.2516584283156664,0.0007351476012436968,8.477587464520777,1.0,0.4655381182378018,0.5387596920621043,1.875,0.28472728880655673,0.43558744743823086,-0.6020605353224603,16.880304967562317,231.54245462994112,0.49154135273940663,12.568666584389367,nan,nan,nan,nan
3600,450,2.6463031033623383,0.0,7.337141348990829,1.0,0.4557237359459439,0.5289162478406482,2.125,0.38199592510582825,0.6033113677430788,-0.6206843983588732,14.044191530963129,270.31157518166935,0.4538574422710114,10.067066698532635,nan,nan,nan,nan
4000,500,1.6948011637320848,0.0,4.044715239838403,1.0,0.48386051610796665,0.5797969102474267,1.375,0.2762262105782016,0.2815938196235358,-0.5943940406186016,13.336061499025675,266.1014280332972,0.34867146718067693,14.612818909153694,nan,nan,nan,nan
